trial_type,subjectID,prolificID,studyID,sessionID,DEBUG,sliderOrder,half,targetValue,passed,itemID,actionPhrase,abilityResponse,abilityRT,abilityDragged,willingnessResponse,willingnessRT,willingnessDragged,trialRT,trialIndex,suspicious
whyask-trial,369n4euwyd,,,,0,WA,2,,,12,perform CPR on someone,30,3699,true,100,5920,true,7148,11,false
whyask-trial,369n4euwyd,,,,0,WA,2,,,13,translate a legal document from Korean,10,6153,true,20,3231,true,8951,12,false
whyask-trial,369n4euwyd,,,,0,WA,2,,,66,drive me home,85,4390,true,30,8065,true,11556,13,false
whyask-trial,369n4euwyd,,,,0,WA,2,,,102,smile at someone,100,3639,true,100,7478,true,10044,14,false
whyask-trial,369n4euwyd,,,,0,WA,2,,,47,go for a jog,61,2832,true,88,9464,true,12260,15,false
whyask-trial,369n4euwyd,,,,0,WA,2,,,52,drive someone to the emergency room,90,3500,true,90,5909,true,9871,16,false
whyask-trial,369n4euwyd,,,,0,WA,2,,,80,tell someone how much money you make,100,7128,true,40,2974,true,8530,17,false
whyask-trial,369n4euwyd,,,,0,WA,2,,,24,run a 5K race in under 20 minutes,14,5734,true,60,2817,true,9979,18,false
whyask-trial,369n4euwyd,,,,0,WA,2,,,92,turn your music down when asked,100,5873,true,71,9631,true,12939,19,false
whyask-trial,369n4euwyd,,,,0,WA,2,,,15,fly a helicopter,3,6319,true,5,2440,true,9952,20,false
whyask-trial,369n4euwyd,,,,0,WA,attn,86,true,ATTN_1,,86,,true,86,,true,,ATTN_1,false
whyask-trial,369n4euwyd,,,,0,WA,attn,68,true,ATTN_2,,68,,true,68,,true,,ATTN_2,false